Lag,Importance
1,0.20943178
2,0.021103866
3,0.0065906267
4,0.009005063
5,0.00179662
6,0.004307271
7,0.017110817
8,0.012532388
9,0.0
10,0.015443848
11,0.0
12,0.0014173106
13,0.053499274
14,0.051784072
15,0.04725637
16,0.039290167
17,0.05444366
18,0.117598295
19,0.03518517
20,0.0016678724
21,0.03775231
22,0.09141789
23,0.06589484
24,0.0
25,0.0
26,0.00362521
27,0.0
28,0.0051881885
29,0.0059440844
30,0.0
31,0.009525309
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0071199564
38,0.0
39,0.012460903
40,0.0
41,0.0
42,0.0
43,0.0014074876
44,0.0027689096
45,0.004023736
46,0.0
47,0.0
48,0.0038648408
49,0.003639508
50,0.0
51,0.0063615786
52,0.0033673511
53,0.0037676808
54,0.0
55,0.0
56,0.0
57,0.004271566
58,0.0
59,0.0
60,0.00937818
61,0.0019125039
62,0.005585853
63,0.001559617
64,0.005078512
65,0.0026119906
66,0.0
67,0.0
68,0.0
69,0.0
70,0.002007586
